Country,Year,Energy,Industrial_Processes_and_Product_Use,Agriculture,LULUCF,Waste_management,Other_Sector,Total (with LULUCF),ind_CO2 - Indirect CO2
Bulgaria,1995-01-01,24980.5154325,2171.811304444445,1516.27058,-9553.13107,1823.1808200000003,0.0,10512.627196666666,0.0
Bulgaria,1996-01-01,25266.012789999997,2136.5886111111117,1442.7583275,-9334.3607475,1830.1265625,0.0,10671.938357777777,0.0
Bulgaria,1997-01-01,24305.7313975,2000.288824444444,1452.7560725,-9353.7875325,1819.06719,0.0,10099.740882222222,0.0
Bulgaria,1998-01-01,23950.163664999996,1513.137372222222,1313.4497724999999,-9667.141407500001,1755.4287025,0.0,9225.093255555556,0.0
Bulgaria,1999-01-01,20793.215635,1331.0746877777774,1400.3526474999999,-9087.994009999999,1693.8850750000001,0.0,7908.612173333332,0.0
Bulgaria,2000-01-01,19929.89009,1512.0563755555556,1330.9149249999998,-9276.189482499998,1672.39439,0.0,7581.838564444445,0.0
Bulgaria,2001-01-01,21788.581935000002,1501.9564344444448,1278.5850850000002,-5166.2754825,1577.0965350000001,0.0,10158.840022222219,0.0
Bulgaria,2002-01-01,20796.2239275,1357.1696811111112,1315.0602149999997,-5348.531857499999,1505.929675,0.0,9476.583885555556,0.0
Bulgaria,2003-01-01,22665.9064375,1501.6289022222222,1289.3754175000001,-5161.077732499999,1546.1883925000002,0.0,10541.803353333333,0.0
Bulgaria,2004-01-01,22092.7976,1511.8476155555554,1402.4287475,-5555.6300075,1522.597165,0.0,10161.711396666667,0.0
Bulgaria,2005-01-01,22480.500852499998,1609.849994444444,1320.4036375,-6318.291622500001,1413.1251825000002,0.0,10007.955794444446,0.0
Bulgaria,2006-01-01,23029.529342499998,1608.7606633333335,1290.610645,-7031.4926275,1368.29327,0.0,9900.734275555555,0.0
Bulgaria,2007-01-01,24828.627579999997,1710.8883555555556,1252.20727,-7572.209,1329.9170575000003,0.0,10528.018536666668,0.0
Bulgaria,2008-01-01,24501.48212,1531.544557777778,1314.2384875000002,-6701.6909625,1287.9728975,0.0,10599.10124222222,0.0
Bulgaria,2009-01-01,21702.809695,891.7007122222223,1271.7753025,-6741.0088675,1245.226185,0.0,8660.057294444445,0.0
Bulgaria,2010-01-01,22660.301522499998,955.2893233333335,1389.5014274999999,-6421.384795,1200.759395,0.0,9323.812678888888,0.0
Bulgaria,2011-01-01,25128.695107500003,1086.9683677777778,1303.8680699999998,-4988.3043175,1191.5582275000002,0.0,11147.331515555554,0.0
Bulgaria,2012-01-01,22768.789089999995,1045.2089966666667,1337.2892875,-4712.341955,1154.7851425000001,0.0,10177.885250000001,0.0
Bulgaria,2013-01-01,19931.1895675,1041.3291066666666,1459.881635,-4071.9272525,1171.6623625000002,0.0,9259.465244444444,0.0
Bulgaria,2014-01-01,21098.212422499997,1121.2281544444443,1576.36785,-4705.525837499999,1124.748905,0.0,9607.362973333335,0.0
Bulgaria,2015-01-01,22382.2503625,1265.4019466666664,1588.4663850000002,-4468.6630525,1099.640235,0.0,10421.71036111111,0.0
Bulgaria,2016-01-01,20870.8677725,1330.7062311111113,1677.1609425000001,-4450.2984375,1063.7249800000002,0.0,9846.90856777778,0.0
Bulgaria,2017-01-01,21998.6964275,1412.2370433333335,1668.7190425000001,-4326.0738825,985.0697775,0.0,10446.197652222223,0.0
Bulgaria,2018-01-01,20160.387209999997,1436.0316477777774,1633.6216224999998,-4354.85939,956.2834475,0.0,9611.779598888888,0.0
Croatia,1990-01-01,10605.606275,949.4911077777779,1145.364405,-3223.0008350000003,272.88962,0.0,4860.98420111111,0.0
